Rank,Name,Platform,Year,Genre,Publisher,Global_Sales
13709,Dead Ball Zone,PS,1998,Sports,GT Interactive,0.04
6190,Dead or Alive,"PS,SAT",1998,Fighting,Sony Computer Entertainment,0.46
13746,Deadly Arts,N64,1998,Fighting,Konami Digital Entertainment,0.04
5459,Deathtrap Dungeon,PS,1998,Action,Eidos Interactive,0.33
11625,Deep Fear,SAT,1998,Adventure,Sega,0.08
5784,Demolition Racer,PS,1998,Racing,Infogrames,0.31
11381,Derby Stallion 98,SNES,1998,Sports,ASCII Entertainment,0.08
12180,Destrega,PS,1998,Fighting,Sony Computer Entertainment,0.07
1574,Devil Dice,PS,1998,Puzzle,THQ,1.26
643,Dino Crisis,PS,1998,Action,Capcom,2.41
10023,Doukoku Shoshite...,SAT,1998,Adventure,Data East,0.11
11673,Dragon Force II: Kamisarishi Daichi ni,SAT,1998,Strategy,Sega,0.08
675,Dragon Warrior Monsters,GB,1998,Role-Playing,Eidos Interactive,2.35
10623,Dragonseeds,PS,1998,Action,Jaleco,0.1
1406,Duke Nukem: Time to Kill,PS,1998,Shooter,Take-Two Interactive,1.38
9711,Echo Night,PS,1998,Adventure,From Software,0.12
5832,Ehrgeiz,PS,1998,Fighting,SquareSoft,0.3
8636,Eve: The Lost One,SAT,1998,Adventure,Imagineer,0.16
6640,Evil Zone,PS,1998,Fighting,Titus,0.25
4934,Extreme-G: XG2,N64,1998,Racing,Acclaim Entertainment,0.39
1154,F-1 World Grand Prix,N64,1998,Racing,Video System,1.6
1862,F-Zero X,N64,1998,Racing,Nintendo,1.1
2855,Fear Effect,PS,1998,Action,Eidos Interactive,0.72
922,FIFA 2000,PS,1998,Sports,Electronic Arts,1.87
3720,FIFA 99,N64,1998,Sports,Electronic Arts,0.54
8321,Fighter Maker,PS,1998,Fighting,Agetec,0.17
8583,Fighters Destiny,N64,1998,Fighting,Ocean,0.16
6889,Forsaken,PS,1998,Shooter,Acclaim Entertainment,0.24
6688,Fox Sports College Hoops '99,N64,1998,Sports,Fox Interactive,0.25
6692,Gex 64: Enter the Gecko,N64,1998,Action,GT Interactive,0.25
3476,Gex: Enter the Gecko,PS,1998,Platform,BMG Interactive Entertainment,0.58
2285,Glover,"N64,PS",1998,Platform,Hasbro Interactive,1.08
11365,Godzilla Generations,DC,1998,Action,Sega,0.08
5756,Goemon's Great Adventure,N64,1998,Platform,Konami Digital Entertainment,0.31
11050,Golden Nugget 64,N64,1998,Misc,Electronic Arts,0.09
389,Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,3.42
10381,"Grand Theft Auto: Mission Pack #1, London 1969",PS,1998,Adventure,Take-Two Interactive,0.11
10642,GT64 Championship Edition,N64,1998,Racing,Ocean,0.1
9727,Guardian's Crusade,PS,1998,Role-Playing,Activision,0.12
9305,Guilty Gear,PS,1998,Fighting,Virgin Interactive,0.14
7022,Gundam Battle Assault,PS,1998,Fighting,Namco Bandai Games,0.23
12326,GunGriffon II,SAT,1998,Simulation,ESP,0.06
5697,Heart of Darkness,PS,1998,Platform,Ocean,0.32
11026,Hello Kitty's Cube Frenzy,PS,1998,Puzzle,Culture Publishers,0.09
945,"Hey You, Pikachu!",N64,1998,Simulation,Nintendo,1.83
14408,Highschool Terra Story,SAT,1998,Adventure,KID,0.03
15137,Homeworld,PC,1998,Strategy,Vivendi Games,0.02
9277,Houshinengi,PS,1998,Strategy,Tecmo Koei,0.14
11483,Iggy's Reckin' Balls,N64,1998,Racing,Acclaim Entertainment,0.08
3469,International Superstar Soccer '98,N64,1998,Sports,Konami Digital Entertainment,0.58
4652,International Superstar Soccer Pro '98,PS,1998,Sports,Konami Digital Entertainment,0.42
11194,Invasion From Beyond,PS,1998,Shooter,GT Interactive,0.09
15794,Irritating Stick,PS,1998,Action,Saurus,0.02
2698,ISS Pro Evolution,PS,1998,Sports,Konami Digital Entertainment,0.76
6414,Jade Cocoon: Story of the Tamamayu,PS,1998,Role-Playing,Crave Entertainment,0.27
1812,Jampack Winter '98,PS,1998,Misc,Sony Computer Entertainment,1.13
2004,Jeremy McGrath Supercross 98,PS,1998,Racing,Acclaim Entertainment,1.04
4614,JGTC: All-Japan Grand Touring Car Championship,PS,1998,Racing,TYO,0.42
3401,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Sports,Konami Digital Entertainment,0.59
6391,Jikkyou Powerful Pro Yakyuu '98 Ketteiban,PS,1998,Sports,Konami Digital Entertainment,0.27
6345,Jikkyou Powerful Pro Yakyuu 5,N64,1998,Sports,Konami Digital Entertainment,0.27
12271,July,DC,1998,Adventure,Fortyfive,0.06
5992,Kagero: Deception II,PS,1998,Strategy,Virgin Interactive,0.29
7247,Kartia: The Word of Fate,PS,1998,Strategy,Konami Digital Entertainment,0.22
8523,Kawa no Nushi Tsuri,PS,1998,Sports,Victor Interactive,0.16
6613,Kidou Senshi Gundam: Giren no Yabou,SAT,1998,Strategy,Namco Bandai Games,0.25
11478,Knife Edge: NoseGunner,N64,1998,Shooter,Mitsui,0.08
1696,Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo,1.19
5351,Kurushi Final: Mental Blocks,PS,1998,Puzzle,Sony Computer Entertainment,0.34
10855,Langrisser V: The End of Legend,SAT,1998,Strategy,NCS,0.09
3074,Legend of Legaia,PS,1998,Role-Playing,Sony Computer Entertainment,0.66
10640,Lode Runner 3-D,N64,1998,Action,Infogrames,0.1
6880,Lucky Luke,PS,1998,Platform,Ocean,0.24
9964,Lunar 2: Eternal Blue,SAT,1998,Role-Playing,Kadokawa Shoten,0.12
3629,Lunar: Silver Star Story Complete,"PS,SAT",1998,Role-Playing,Kadokawa Shoten,0.76
1005,Madden NFL 2000,"PS,N64",1998,Sports,Electronic Arts,2.36
1023,Madden NFL 99,"PS,N64",1998,Sports,Electronic Arts,2.64
14323,Madou Monogatari,SAT,1998,Role-Playing,Compile,0.03
2620,Major League Baseball Featuring Ken Griffey Jr,N64,1998,Sports,Nintendo,0.79
555,Mario Party,N64,1998,Misc,Nintendo,2.7
6568,Marvel Super Heroes vs. Street Fighter,PS,1998,Fighting,Virgin Interactive,0.26
2503,MediEvil,PS,1998,Platform,Sony Computer Entertainment,0.83
146,Metal Gear Solid,"PS,GB",1998,Action,Konami Digital Entertainment,6.1
12514,Mike Piazza's Strike Zone,N64,1998,Sports,GT Interactive,0.06
10643,Milo's Astro Lanes,N64,1998,Sports,Interplay,0.1
2422,MLB 99,PS,1998,Sports,Sony Computer Entertainment,0.86
11675,Monkey Hero,PS,1998,Action,Take-Two Interactive,0.08
1987,Monster Rancher 2,PS,1998,Simulation,Sony Computer Entertainment,1.05
1309,Mortal Kombat 4,"PS,N64",1998,Fighting,GT Interactive,2.19
14434,MotorHead,PS,1998,Racing,Gremlin Interactive Ltd,0.03
8524,N2O: Nitrous Oxide,PS,1998,Racing,Gremlin Interactive Ltd,0.16
1237,NASCAR 99,"PS,N64",1998,Racing,Electronic Arts,2.5
13712,NBA In The Zone '99,N64,1998,Sports,Konami Digital Entertainment,0.04
6346,NBA Jam 99,N64,1998,Sports,Acclaim Entertainment,0.27
1238,NBA Live 2000,"PS,N64",1998,Sports,Electronic Arts,1.96
2657,NBA ShootOut 98,PS,1998,Sports,Sony Computer Entertainment,0.78
1939,NCAA Football 99,PS,1998,Sports,Electronic Arts,1.06
4340,NCAA Gamebreaker 99,PS,1998,Sports,989 Studios,0.45
14518,Nectaris: Military Madness,PS,1998,Strategy,Hudson Soft,0.03
443,Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts,3.12
10824,Neo Atlas,PS,1998,Strategy,ArtDink,0.09
1257,NFL Blitz,"PS,N64",1998,Sports,Midway Games,2.56
1893,NFL Blitz 2000,"PS,N64",1998,Sports,Midway Games,1.67
1224,NFL GameDay 99,PS,1998,Sports,989 Studios,1.53
3282,NFL Quarterback Club 99,N64,1998,Sports,Acclaim Entertainment,0.62
2960,NFL Xtreme,PS,1998,Sports,Sony Computer Entertainment,0.69
2396,NHL 2000,PS,1998,Sports,Electronic Arts,0.87
5595,NHL Breakaway 98,"N64,PS",1998,Sports,Acclaim Entertainment,0.46
11481,NHL Breakaway 99,N64,1998,Sports,Acclaim Entertainment,0.08
7243,NHL Championship 2000,PS,1998,Sports,Fox Interactive,0.22
5793,NHL FaceOff 2000,PS,1998,Sports,Sony Computer Entertainment,0.31
5019,Ninja: Shadow of Darkness,PS,1998,Action,Eidos Interactive,0.38
9668,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998,Sports,Sega,0.12
9454,No Fear Downhill Mountain Biking,PS,1998,Sports,Codemasters,0.13
11667,No One Can Stop Mr. Domino!,PS,1998,Misc,JVC,0.08
11834,NOëL: La Neige,PS,1998,Adventure,Pioneer LDC,0.07
2095,Oddworld: Abe's Exoddus,PS,1998,Platform,GT Interactive,0.99
5396,Off Road Challenge,N64,1998,Racing,GT Interactive,0.34
12249,Ojyousama Express,"PS,SAT",1998,Strategy,Media Works,0.09
12508,Olympic Hockey 98,N64,1998,Sports,GT Interactive,0.06
10746,Option Tuning Car Battle,PS,1998,Racing,MTO,0.1
12087,OverBlood 2,PS,1998,Action,Evolution Games,0.07
1267,Pac-Man World,PS,1998,Action,Namco Bandai Games,1.5
8660,Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,PS,1998,Misc,Syscom,0.16
787,Parasite Eve,PS,1998,Role-Playing,SquareSoft,2.1
12468,PenPen TriIceLon,DC,1998,Racing,Infogrames,0.06
14936,Pharaoh,PC,1998,Strategy,Vivendi Games,0.02
5514,Pitfall 3D: Beyond the Jungle,PS,1998,Platform,Activision,0.33
14073,Planescape: Torment,PC,1998,Role-Playing,Interplay,0.04
1423,Pocket Monsters Stadium,N64,1998,Strategy,Nintendo,1.37
13757,Point Blank 2,PS,1998,Shooter,Namco Bandai Games,0.04
336,Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,3.7
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,14.64
2042,Pong: The Next Level,PS,1998,Puzzle,Hasbro Interactive,1.01
10860,Populous: The Beginning,PS,1998,Strategy,Electronic Arts,0.09
12103,Power Pro GB,GB,1998,Sports,Konami Digital Entertainment,0.07
9069,Power Stone,DC,1998,Fighting,Eidos Interactive,0.14
10915,Pro Yakyuu Greatest Nine 98,SAT,1998,Sports,Sega,0.09
6706,Pro Yakyuu Team o Tsukurou!,"SAT,DC,DS",1998,Sports,Sega,0.67
9127,Project V6,PS,1998,Strategy,General Entertainment,0.14
7866,Quake,N64,1998,Shooter,GT Interactive,0.19
4689,Quake II,"PS,N64",1998,Shooter,Activision,0.71
4190,Quest 64,N64,1998,Role-Playing,Konami Digital Entertainment,0.47
14896,R-Type Delta,PS,1998,Shooter,Irem Software Engineering,0.03
12356,R-Types,PS,1998,Shooter,Virgin Interactive,0.06
11452,R/C Stunt Copter,PS,1998,Simulation,Interplay,0.08
820,R4: Ridge Racer Type 4,PS,1998,Racing,Namco Bandai Games,2.06
14122,Radiant Silvergun,SAT,1998,Shooter,ESP,0.03
5336,Rally Cross 2,PS,1998,Racing,989 Studios,0.35
7097,Rampage 2: Universal Tour,"PS,N64",1998,Action,GT Interactive,0.45
4586,Rascal,PS,1998,Action,Psygnosis,0.42
7797,Re-Volt,"PS,N64",1998,Racing,Acclaim Entertainment,0.37
1913,Ready 2 Rumble Boxing,"PS,N64",1998,Sports,Midway Games,1.67
12682,Real Bout Garou Densetsu Special: Dominated Mind,PS,1998,Fighting,SNK,0.06
11591,Real Robots Final Attack,PS,1998,Shooter,Banpresto,0.08
152,Resident Evil 2,"PS,N64,GC",1998,Action,Virgin Interactive,6.44
6276,Resident Evil 2: Dual Shock Edition,PS,1998,Action,Capcom,0.27
15631,Rising Zan: The Samurai Gunman,PS,1998,Action,Agetec,0.02
3849,Rival Schools: United By Fate,PS,1998,Fighting,Capcom,0.52
1598,Road Rash 3D,PS,1998,Racing,Electronic Arts,1.25
11051,Robotron 64,N64,1998,Shooter,GT Interactive,0.09
9226,RockMan & Forte,SNES,1998,Platform,Capcom,0.14
5049,Rogue Trip: Vacation 2012,PS,1998,Racing,GT Interactive,0.38
11836,Roll Away,PS,1998,Puzzle,Sony Computer Entertainment,0.07
13317,Romance of the Three Kingdoms VI: Awakening of the Dragon,PS,1998,Strategy,Tecmo Koei,0.05
401,Rugrats: Search For Reptar,PS,1998,Adventure,THQ,3.34
4623,Rush 2: Extreme Racing USA,N64,1998,Racing,Midway Games,0.42
11300,S.C.A.R.S,"PS,N64",1998,Racing,Ubisoft,0.14
3758,"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,1998,Adventure,Sega,0.53
2833,SD Gundam G Generation,PS,1998,Strategy,Namco Bandai Games,0.72
6708,Sentimental Graffiti,SAT,1998,Adventure,NEC Interchannel,0.25
5720,Sesame Street: Elmo's Letter Adventure,"PS,N64",1998,Misc,NewKidCo,0.49
6940,Sesame Street: Elmo's Number Journey,"PS,N64",1998,Misc,NewKidCo,0.43
10759,Shadow Tower,PS,1998,Role-Playing,From Software,0.1
15038,Shanghai: True Valor,PS,1998,Puzzle,Activision,0.02
7125,Shin Nippon Pro Wrestling: Toukon Retsuden 3,PS,1998,Fighting,Tomy Corporation,0.23
12826,Shining Force III: Scenario 2,SAT,1998,Strategy,Sega,0.05
13206,Shinseiki Evangelion- Eva: Yukai na Nakama Tachi,PS,1998,Misc,Gainax Network Systems,0.05
10053,Shinseiki Evangelion: Koutetsu no Girlfriend,"PS,SAT",1998,Adventure,Gainax Network Systems,0.22
13253,Silhouette Mirage,PS,1998,Platform,ESP,0.05
807,Sim Theme Park,"PC,PS",1998,Strategy,Electronic Arts,2.71
1947,Simple 1500 Series Vol. 1: The Mahjong,PS,1998,Misc,D3Publisher,1.06
9621,SkullMonkeys,PS,1998,Platform,DreamWorks Interactive,0.13
11420,Slayers Royal,PS,1998,Role-Playing,Kadokawa Shoten,0.08
11651,Slayers Royal 2,SAT,1998,Role-Playing,Kadokawa Shoten,0.08
1140,Sled Storm,"PS,PS2",1998,Racing,Electronic Arts,2.07
3307,Small Soldiers,PS,1998,Platform,Electronic Arts,0.61
638,Sonic Adventure,DC,1998,Platform,Sega,2.42
9097,Soukaigi,PS,1998,Role-Playing,SquareSoft,0.14
10990,Sound Novel Machi,SAT,1998,Adventure,ChunSoft,0.09
1792,South Park,"N64,PS",1998,Shooter,Acclaim Entertainment,1.85
5253,South Park Rally,"PS,N64",1998,Racing,Acclaim Entertainment,0.56
5798,South Park: Chef's Luv Shack,"PS,N64",1998,Misc,Acclaim Entertainment,0.55
7605,Speed Punks,PS,1998,Racing,Sony Computer Entertainment,0.2
3023,Spice World,PS,1998,Action,Sony Computer Entertainment,0.67
206,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,5
1870,Star Ocean: The Second Story,PS,1998,Role-Playing,Sony Computer Entertainment,1.1
12516,Star Soldier: Vanishing Earth,N64,1998,Shooter,Hudson Entertainment,0.06
755,Star Wars: Rogue Squadron,N64,1998,Simulation,Nintendo,2.17
13231,StarCraft,PC,1998,Strategy,Activision,0.05
14495,Starshot: Space Circus Fever,N64,1998,Platform,Infogrames,0.03
9971,Stolen Song,PS,1998,Adventure,Sony Computer Entertainment,0.12
8775,Streak: Hoverboard Racing,PS,1998,Racing,GT Interactive,0.15
2026,Street Fighter Alpha 3,"PS,GBA",1998,Fighting,Virgin Interactive,1.18
6965,Street Fighter EX2 Plus,PS,1998,Fighting,Virgin Interactive,0.23
3015,Street Sk8er,PS,1998,Sports,Electronic Arts,0.67
9689,Strikers 1945,"PS,SAT",1998,Shooter,Midas Interactive Entertainment,0.17
2995,Suikoden II,PS,1998,Role-Playing,Konami Digital Entertainment,0.68
11988,Super Robot Spirits,N64,1998,Fighting,Banpresto,0.07
3674,Super Robot Taisen F Kanketsuhen,"SAT,PS",1998,Strategy,Banpresto,0.78
9124,T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,PS,1998,Adventure,Sunsoft,0.14
8871,T'ai Fu: Wrath of the Tiger,PS,1998,Action,Activision,0.15
14225,Tail Concerto,PS,1998,Adventure,Namco Bandai Games,0.03
3473,Tales of Phantasia,"PS,SNES,GBA",1998,Role-Playing,Namco Bandai Games,1.27
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,7.16
891,Tetris DX,GB,1998,Puzzle,Nintendo,1.93
9019,The Fifth Element,PS,1998,Action,Sony Computer Entertainment,0.14
2493,The Game of Life,PS,1998,Misc,Unknown,0.83
6452,The House of the Dead 2,DC,1998,Shooter,Sega,0.26
8250,The King of Fighters '97,"PS,SAT",1998,Fighting,SNK,0.34
13555,The King of Fighters Kyo,PS,1998,Fighting,SNK Playmore,0.04
730,The Legend of Zelda: Link's Awakening DX,GB,1998,Adventure,Nintendo,2.22
95,The Legend of Zelda: Ocarina of Time,"N64,3DS",1998,Action,Nintendo,11.81
2555,The Next Tetris,PS,1998,Puzzle,Atari,0.81
9434,The Unholy War,PS,1998,Strategy,Eidos Interactive,0.13
9966,Thousand Arms,PS,1998,Role-Playing,Atlus,0.12
4913,Thrasher Presents: Skate and Destroy,PS,1998,Sports,Take-Two Interactive,0.39
13068,Thunder Force V: Perfect System,PS,1998,Shooter,TechnoSoft,0.05
3060,Tiger Woods PGA Tour 2000,PS,1998,Sports,Electronic Arts,0.66
14713,Timeshock! Pro Pinball,PS,1998,Misc,Empire Interactive,0.03
5415,Tiny Tank,PS,1998,Action,Sony Computer Entertainment,0.34
5739,Tiny Toon Adventures: The Great Beanstalk,PS,1998,Misc,Sony Computer Entertainment,0.31
13010,Tiny Toon Adventures: Toonenstein - Dare to Scare,PS,1998,Action,Swing! Entertainment,0.05
1491,TOCA 2: Touring Cars,PS,1998,Racing,Codemasters,1.32
12396,Tokimeki no Houkago,PS,1998,Misc,Konami Digital Entertainment,0.06
623,Tomb Raider: The Last Revelation,"PS,PC",1998,Action,Eidos Interactive,2.89
6026,Top Gear Overdrive,N64,1998,Racing,Kemco,0.29
1044,Toy Story 2: Buzz Lightyear to the Rescue!,"PS,N64",1998,Platform,Activision,2.64
14154,Trap Gunner: Countdown to Oblivion,PS,1998,Strategy,Konami Digital Entertainment,0.03
7620,Twisted Edge Extreme Snowboarding,N64,1998,Sports,Kemco,0.2
1029,Twisted Metal III,PS,1998,Action,989 Studios,1.73
3088,Um Jammer Lammy,PS,1998,Misc,Sony Computer Entertainment,0.66
11816,Uprising X,PS,1998,Action,3DO,0.07
11047,V-Rally Edition 99,N64,1998,Racing,Infogrames,0.09
8078,Vampire Savior: The Lord of Vampire,SAT,1998,Fighting,Capcom,0.18
11960,Vanguard Bandits,PS,1998,Strategy,Human Entertainment,0.07
1624,Vigilante 8,"PS,N64",1998,Racing,Activision,1.54
5154,Virtua Fighter 3tb,DC,1998,Fighting,Sega,0.37
12512,Virtual Chess 64,N64,1998,Misc,Titus,0.06
10636,Virtual Pool 64,N64,1998,Sports,Crave Entertainment,0.1
6025,Viz,N64,1998,Racing,Acclaim Entertainment,0.29
13861,Warhammer: Dark Omen,PS,1998,Strategy,Electronic Arts,0.04
4985,Wario Land II (GBC),GB,1998,Platform,Nintendo,0.38
6242,Warpath: Jurassic Park,PS,1998,Fighting,Electronic Arts,0.28
1649,WCW Mayhem,"PS,N64",1998,Fighting,Electronic Arts,2.01
919,WCW Nitro,"PS,N64",1998,Fighting,THQ,2.09
1314,WCW vs the World,PS,1998,Fighting,THQ,1.46
661,WCW/nWo Revenge,N64,1998,Fighting,THQ,2.38
1067,WCW/NWO Thunder,PS,1998,Fighting,THQ,1.69
11480,Wetrix,N64,1998,Puzzle,Ocean,0.08
1581,Wheel of Fortune,"PS,Wii,PS2,DS,N64",1998,Misc,Hasbro Interactive,3.89
6915,Wild 9,PS,1998,Action,Interplay,0.24
8724,Winning Post 3,PS,1998,Racing,Tecmo Koei,0.15
4533,WipEout 64,N64,1998,Racing,Midway Games,0.43
11737,Wizardry: Llylgamyn Saga,PS,1998,Role-Playing,Locus,0.07
10880,World Cup '98 France: Road to Win,SAT,1998,Sports,Sega,0.09
3468,World Cup 98,N64,1998,Sports,Electronic Arts,0.58
2559,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998,Sports,Konami Digital Entertainment,0.81
4342,World Stadium 2,PS,1998,Sports,Namco Bandai Games,0.45
11282,Wreckin Crew,PS,1998,Racing,Telstar,0.08
4108,Wu-Tang: Shaolin Style,PS,1998,Fighting,Activision,0.48
990,WWF Attitude,"PS,N64",1998,Fighting,Acclaim Entertainment,2.47
398,WWF War Zone,"PS,N64",1998,Fighting,Acclaim Entertainment,4.69
3372,Xena: Warrior Princess,PS,1998,Adventure,Electronic Arts,0.6
1299,Xenogears,PS,1998,Role-Playing,SquareSoft,1.46
7469,Yarudora Series Vol. 2: Kisetsu wo Dakishimete,PS,1998,Adventure,Sony Computer Entertainment,0.21
5122,Yarudora Series Vol.1: Double Cast,PS,1998,Adventure,Sony Computer Entertainment,0.37
1145,Yu-Gi-Oh! Duel Monsters,GB,1998,Strategy,Konami Digital Entertainment,1.61
6235,Yu-Gi-Oh! Monster Capsule Breed & Battle,PS,1998,Role-Playing,Konami Digital Entertainment,0.28
421,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,3.21
10597,3D Tank Warfare Simulator Panzer Front,PS,1999,Simulation,Avalon Interactive,0.1
2307,3Xtreme,PS,1999,Action,989 Studios,0.9
5804,40 Winks,PS,1999,Platform,GT Interactive,0.31
5810,A Collection of Classic Games from the Intellivision,PS,1999,Misc,Activision,0.31
2483,Ace Combat 3: Electrosphere,PS,1999,Simulation,Sony Computer Entertainment,0.83
10693,Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,0.1
13114,All Star Tennis 99,N64,1999,Sports,Ubisoft,0.05
4932,All-Star Baseball 2000,N64,1999,Sports,Acclaim Entertainment,0.39
6388,Alundra 2: A New Legend Begins,PS,1999,Role-Playing,Activision,0.27
1131,Ape Escape,"PS,PS3",1999,Platform,Sony Computer Entertainment,1.68
4616,Arc the Lad III,PS,1999,Role-Playing,Sony Computer Entertainment,0.42
10317,Arcade Party Pak,PS,1999,Misc,Midway Games,0.11
6583,Armored Core: Master of Arena,PS,1999,Simulation,From Software,0.26
6527,Armorines: Project S.W.A.R.M.,"N64,PS",1999,Shooter,Acclaim Entertainment,0.34
1546,Army Men 3D,PS,1999,Action,3DO,1.28
2432,Army Men: Air Attack,PS,1999,Action,3DO,0.85
2548,Army Men: Sarge's Heroes,"N64,PS",1999,Action,3DO,1.37
8584,Asteroids Hyper 64,N64,1999,Shooter,Crave Entertainment,0.16
13868,Ballistic,PS,1999,Puzzle,Atari,0.04
7208,Barbie Super Sports,PS,1999,Sports,Mattel Interactive,0.22
3426,Barbie: Race & Ride,PS,1999,Action,Sony Computer Entertainment,0.59
5759,Bass Hunter 64,N64,1999,Sports,Take-Two Interactive,0.31
3271,Bass Landing,PS,1999,Sports,ASCII Entertainment,0.62
12945,Bass Rise,PS,1999,Sports,Namco Bandai Games,0.05
9155,Bassmasters 2000,N64,1999,Sports,THQ,0.14
13908,Battle Hunter,PS,1999,Strategy,Midas Interactive Entertainment,0.04
4935,BattleTanx: Global Assault,N64,1999,Action,3DO,0.39
6087,BeatMania Append 4thMix: The beat goes on,PS,1999,Simulation,Konami Digital Entertainment,0.29
5483,BeatMania Append GottaMix,PS,1999,Simulation,Konami Digital Entertainment,0.33
3261,Beetle Adventure Racing!,N64,1999,Racing,Electronic Arts,0.62
7911,Big Air,PS,1999,Sports,Accolade,0.19
10351,Black Bass with Blue Marlin,PS,1999,Sports,Starfish,0.11
4290,Bloody Roar II,PS,1999,Fighting,Virgin Interactive,0.46
10540,Blue Stinger,DC,1999,Adventure,Activision,0.1
15056,Board Game: Top Shop,PS,1999,Misc,Success,0.02
8340,Bomberman 64: The Second Attack!,N64,1999,Adventure,Hudson Soft,0.17
10045,BoomBots,PS,1999,Fighting,SouthPeak Games,0.11
5146,Bottom of the 9th,"N64,PS",1999,Sports,Konami Digital Entertainment,0.51
10242,Breakout,PS,1999,Puzzle,Hasbro Interactive,0.11
4834,Bugs Bunny: Lost in Time,PS,1999,Platform,Infogrames,0.4
16242,Builder's Block,PS,1999,Strategy,EON Digital Entertainment,0.01
6519,Bust A Groove 2,PS,1999,Misc,Enix Corporation,0.26
8593,California Speed,N64,1999,Misc,Midway Games,0.16
16586,Carmageddon 64,N64,1999,Action,Virgin Interactive,0.01
9483,Castlevania: Legacy of Darkness,N64,1999,Platform,Konami Digital Entertainment,0.13
5586,Championship Bass,PS,1999,Sports,Electronic Arts,0.32
1926,Championship Manager 99/00,PC,1999,Sports,Eidos Interactive,1.07
14496,Charlie Blasts Territory,N64,1999,Action,Kemco,0.03
8052,Chocobo no Fushigi Dungeon for WonderSwan,WS,1999,Role-Playing,Namco Bandai Games,0.18
4442,Chocobo Racing,PS,1999,Racing,SquareSoft,0.44
13436,Choro Q 64 2: Hacha Mecha Grand Prix Race,N64,1999,Racing,Takara,0.05
934,Chrono Cross,PS,1999,Role-Playing,SquareSoft,1.86
1207,Command & Conquer: Tiberian Sun,PC,1999,Strategy,Westwood Studios,1.55
13901,Countdown Vampires,PS,1999,Adventure,Namco Bandai Games,0.04
221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,4.79
2805,Croc 2,PS,1999,Platform,Fox Interactive,0.73
6618,Crusaders of Might and Magic,PS,1999,Role-Playing,3DO,0.25
1437,Dance Dance Revolution (Japan),PS,1999,Simulation,Konami Digital Entertainment,1.35
2154,Dance Dance Revolution 2nd ReMIX,PS,1999,Simulation,Konami Digital Entertainment,0.96
14446,Dancing Blade II: Tears of Eden,PS,1999,Adventure,Konami Digital Entertainment,0.03
13127,Dead in the Water,PS,1999,Action,ASC Games,0.05
14050,Deception III: Dark Delusion,PS,1999,Role-Playing,Tecmo Koei,0.04
4740,Densha De Go! 2,PS,1999,Simulation,Taito,0.41
9821,Densha De Go! 64,N64,1999,Simulation,Taito,0.12
1806,Derby Stallion 99,PS,1999,Sports,ASCII Entertainment,1.13
8591,Destruction Derby 64,N64,1999,Racing,THQ,0.16
9181,Detective Barbie: The Mystery Cruise,PS,1999,Adventure,Mattel Interactive,0.14
4070,Die Hard Trilogy 2: Viva Las Vegas,PS,1999,Action,Fox Interactive,0.49
6135,Digimon Adventure: Anode Tamer,WS,1999,Role-Playing,Namco Bandai Games,0.28
10394,Digimon Digital Card Battle,PS,1999,Strategy,Namco Bandai Games,0.11
1525,Digimon World,PS,1999,Role-Playing,Namco Bandai Games,1.3
8758,Disney's Story Studio: Disney's Mulan,PS,1999,Misc,Sony Computer Entertainment,0.15
1920,Doko Demo Issyo,PS,1999,Misc,Sony Computer Entertainment,1.07
176,Donkey Kong 64,N64,1999,Platform,Nintendo,5.27
12090,Dragon Valor,PS,1999,Role-Playing,Sony Computer Entertainment,0.07
2676,Dragon Warrior I&II,GB,1999,Role-Playing,Enix Corporation,0.77
139,Driver,PS,1999,Action,GT Interactive,6.27
6526,Duke Nukem: Zero Hour,N64,1999,Shooter,GT Interactive,0.26
6746,Dune 2000,PS,1999,Strategy,Electronic Arts,0.25
12732,Dungeon Keeper 2,PC,1999,Action,Electronic Arts,0.06
9819,Earthworm Jim 3D,N64,1999,Platform,Interplay,0.12
10126,ECW Anarchy Rulz,PS,1999,Fighting,Acclaim Entertainment,0.11
4105,ECW Hardcore Revolution,"PS,N64",1999,Fighting,Acclaim Entertainment,0.7
9158,Eternal Eyes,PS,1999,Role-Playing,Sunsoft,0.14
13062,Expendable,PS,1999,Action,Infogrames,0.05
